<!--
  【本表定位】决策主表 —— 只收录有决策价值的 81 项：本项目 .conf 显式设置的、AE103 特有的、
              以及原表列出的移植评估项（含评估后未启用的）。全量 11932 个 CONFIG 符号见 config_full.csv。
  【取值快照】「AE103取值」列取自 build/zephyr/.config，对应构建参数 base + optional + test
              （build.sh 默认）。改了 .conf 必须重新构建，本列才会刷新。
  【分组】①~⑫ 按功能分组便于按主题查找，组内按配置项名排序。
  【查找】「定义位置」只给 AE103 视角优先级最高的 1~2 处，完整定义清单去 config_full.csv。
  【陷阱】LOG_MAX_LEVEL / LOG_DEFAULT_LEVEL / LOG_OVERRIDE_LEVEL / SYS_CLOCK_TICKS_PER_SEC 为
          int 类型，在 .conf 里写行内注释会导致 Kconfig 解析失败（详见 optional.conf 顶部说明）。
-->
配置项,类别,定义位置(Kconfig:行),类型,默认值,AE103取值,设置来源,作用,备注/约束
CONFIG_AE201_CLOCK_MAX_HZ,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:82,int,40000000 if AE201_SKU_N || AE201_SKU_B | 80000000 if AE201_SKU_E,40000000,（Kconfig 默认，未在 .conf 中显式设置）,AE201 系列 SoC 最高主频上限，当前 40000000（40MHz）。,⚠️ 待验证：芯片仍在研发中，此值需与实际 PLL 配置文档核对。外设时钟走 80M 两级分频（见 ⑥ 组）。
CONFIG_AE201_SKU_B,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:73,bool,n（隐式）,n(未启用),（Kconfig 默认，未在 .conf 中显式设置）,标识当前硅片 SKU 为 B 型（eFUSE 派生）。,三选一，互斥。当前未选中。
CONFIG_AE201_SKU_E,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:76,bool,n（隐式）,n(未启用),（Kconfig 默认，未在 .conf 中显式设置）,标识当前硅片 SKU 为 E 型（eFUSE 派生）。,三选一，互斥。当前未选中。
CONFIG_AE201_SKU_N,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:70,bool,n（隐式）,y,（Kconfig 默认，未在 .conf 中显式设置）,标识当前硅片 SKU 为 N 型（eFUSE 派生）。当前选中项。,SKU 差异体现在外设数量/容量上，驱动需按此条件编译。
CONFIG_BOARD_SPK32_AE103_NTO,应用层 out_of_tree_boards/boards,ecfw-zephyr/out_of_tree_boards/boards/riscv/ae103_nto/Kconfig.board:4,bool,n（隐式）,y,ae103_nto_defconfig,选中 ae103_nto 板卡（out-of-tree 板，位于 ecfw-zephyr/out_of_tree_boards/）。板级开关，决定 dts、defconfig、pinmux 的加载。,与 SOC_AE103_NTO 是两层概念：SoC 是硅片能力，板卡是具体硬件连接。构建命令 -b ae103_nto 对应的就是它。
CONFIG_SOC_AE103_NTO,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:8,bool,n（隐式）,y,ae103_nto_defconfig,SPK32AE103NTO 具体型号。ISA 为 rv32ec / ilp32e：无 M 扩展（乘除走软件）、无 A 扩展（原子操作走 GCC builtins → ATOMIC_OPERATIONS_BUILTIN）。,⚠️ 本 SoC 不 select 任何外设，外设由板卡/应用层显式打开（见 ② 组）。AE201E/N/X 经 eFUSE 派生，共享本符号。
CONFIG_SOC_FAMILY_SPKSILICON,soc/riscv,soc/riscv/spksilicon/Kconfig:4,bool,n（隐式）,y,（Kconfig 默认，未在 .conf 中显式设置）,选中 sparkle silicon（龙晶石）EC SoC 家族。这是整个 BSP 的根开关——family 选中后其 Kconfig.soc 才会 source 各 series，series 再 source 具体型号。,改动本项等于换芯片家族，AE101/AE102/AE203 共用此 family。由 ae103_nto_defconfig 固定，通常不动。
CONFIG_SOC_SERIES_SPK_AE103X,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.series:4,bool,n（隐式）,y,ae103_nto_defconfig,选中 SPK AE103 系列（正式名 AE201X）。内部测试名 AE103 / AE103FM / AE103NTO，产品 SKU AE201E/N/X 由 eFUSE 区分，共用同一份硅片。,系列级开关，提供 series 级 defconfig（时钟、内存布局默认值）给具体型号继承。
CONFIG_AE103_GPIO,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:166,bool,y,y,ae103_nto_defconfig,启用 AE103 GPIO 驱动。5 个逻辑端口 GPIOA~E 映射到 4 个物理基址（0x2800/0x2C00/0x3000/0x3400），8 位寄存器访问；GPIOD 通过高偏移寄存器与 GPIOC 共享基址 0x3000。,使用要点：GPIOC/GPIOD 同名基址但偏移不同，勿按基址做端口索引。当前仅轮询；中断模式随 AE103 INTC 驱动落地。
CONFIG_AE103_SPI_FLASH,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:157,bool,n,y,configs/base.conf,启用 AE103 外部 SPI NOR Flash 驱动。当前为空函数模板，作用是打通 CODE_DATA_RELOCATION 链路。,⚠️ 关键约束：AE103 的 ICACHE 会现场调度 SPIF 命中，Flash 擦写期间驱动若在 XIP 中执行会「取指死锁」，故该驱动必须搬 RAM 运行。待 SPIF 控制器寄存器与 Flash 型号确认后填充实现。
