<!--
  【本表定位】全量附录 —— Zephyr 全库 11932 个 Kconfig 符号的机器导出结果，供按名检索。
              需要「决策」信息请看同目录 config.csv（人工精写的 作用 / 备注·约束）。
  【生成方式】由 Kconfig 树文本解析（名称/类型/定义位置/默认值/依赖/help 原文），
              叠加 build/zephyr/.config 的实际取值与手写 .conf 的设置来源。
              重新生成：python3 tools/gen_config_csv.py
  【定义位置】按 AE103 视角优先级排序：本平台(0) > arch/riscv(1) > 内核·子系统(2) > 其他平台(3) > samples/tests(4)。
              同一符号多处定义时，「|」分隔，最前面那处即主定义。
  【默认值】分两列：「主定义处」是优先级最高那处写的 default（该处没写则标注隐式默认）；
            「全部定义处」是所有平台 default 的并集，用于追查同名符号的跨平台差异。
-->
配置项,类别,类型,定义位置(Kconfig:行),默认值(主定义处),默认值(全部定义处),AE103当前值,设置来源,作用(Kconfig help 原文),依赖(depends on)
CONFIG_1ST_LEVEL_INTERRUPT_BITS,drivers/interrupt_controller,int,drivers/interrupt_controller/Kconfig.multilevel:22 | soc/riscv/renode_virt/Kconfig.defconfig:18,8,8 | 4,—(未定义/依赖不满足),,The number of bits to use of the 32 bit interrupt mask for first tier interrupts.,
CONFIG_2ND_LEVEL_INTERRUPTS,drivers/interrupt_controller,bool,drivers/interrupt_controller/Kconfig.multilevel:38 | soc/riscv/gd_gd32/gd32vf103/Kconfig.defconfig.gd32vf103:30 | soc/riscv/openisa_rv32m1/Kconfig.defconfig:52 | soc/xtensa/intel_adsp/ace/Kconfig.defconfig.series:42 | soc/xtensa/intel_adsp/cavs/Kconfig.defconfig.series:37 | soc/xtensa/nxp_adsp/Kconfig.defconfig:25,n（隐式）,y | n,—(未定义/依赖不满足),,Second level interrupts are used to increase the number of addressable interrupts in a system.,
CONFIG_2ND_LEVEL_INTERRUPT_BITS,drivers/interrupt_controller,int,drivers/interrupt_controller/Kconfig.multilevel:63 | soc/riscv/renode_virt/Kconfig.defconfig:24,8,8 | 11,—(未定义/依赖不满足),,The number of bits to use of the 32 bit interrupt mask for second tier interrupts.,
CONFIG_2ND_LVL_INTR_00_OFFSET,soc/riscv,,soc/riscv/andes_v5/ae350/Kconfig.defconfig.series:33 | soc/riscv/efinix_sapphire/Kconfig.defconfig:20 | soc/riscv/microchip_miv/miv/Kconfig.defconfig.series:20 | soc/riscv/microchip_miv/polarfire/Kconfig.defconfig.series:23 | soc/riscv/openisa_rv32m1/Kconfig.defconfig:68 | soc/riscv/opentitan/Kconfig.defconfig:21 | soc/riscv/renode_virt/Kconfig.defconfig:30 | soc/riscv/sifive_freedom/e300/Kconfig.defconfig.series:21 | soc/riscv/sifive_freedom/u500/Kconfig.defconfig.series:21 | soc/riscv/sifive_freedom/u700/Kconfig.defconfig.series:21 | soc/riscv/starfive_jh71xx/jh71xx/Kconfig.defconfig.series:21 | soc/riscv/telink_tlsr/tlsr951x/Kconfig.defconfig.series:45 | soc/riscv/virt/Kconfig.defconfig:21 | soc/xtensa/intel_adsp/ace/Kconfig.defconfig.series:27 | soc/xtensa/intel_adsp/cavs/Kconfig.defconfig.cavs_v25:34,11,11 | 24 | 4 | CAVS_ICTL_0_OFFSET,—(未定义/依赖不满足),,,
CONFIG_2ND_LVL_INTR_01_OFFSET,soc/riscv,int,soc/riscv/openisa_rv32m1/Kconfig.defconfig:71 | soc/riscv/renode_virt/Kconfig.defconfig:33 | soc/xtensa/intel_adsp/cavs/Kconfig.defconfig.cavs_v25:36,25,25 | 4 | CAVS_ICTL_1_OFFSET,—(未定义/依赖不满足),,,
CONFIG_2ND_LVL_INTR_02_OFFSET,soc/riscv,int,soc/riscv/openisa_rv32m1/Kconfig.defconfig:75 | soc/xtensa/intel_adsp/cavs/Kconfig.defconfig.cavs_v25:38,26,26 | CAVS_ICTL_2_OFFSET,—(未定义/依赖不满足),,,
CONFIG_2ND_LVL_INTR_03_OFFSET,soc/riscv,int,soc/riscv/openisa_rv32m1/Kconfig.defconfig:79 | soc/xtensa/intel_adsp/cavs/Kconfig.defconfig.cavs_v25:40,27,27 | CAVS_ICTL_3_OFFSET,—(未定义/依赖不满足),,,
CONFIG_2ND_LVL_INTR_04_OFFSET,soc/riscv,int,soc/riscv/openisa_rv32m1/Kconfig.defconfig:83,28,28,—(未定义/依赖不满足),,,
CONFIG_2ND_LVL_INTR_05_OFFSET,soc/riscv,int,soc/riscv/openisa_rv32m1/Kconfig.defconfig:87,29,29,—(未定义/依赖不满足),,,
CONFIG_2ND_LVL_INTR_06_OFFSET,soc/riscv,int,soc/riscv/openisa_rv32m1/Kconfig.defconfig:91,30,30,—(未定义/依赖不满足),,,
CONFIG_2ND_LVL_INTR_07_OFFSET,soc/riscv,int,soc/riscv/openisa_rv32m1/Kconfig.defconfig:95,31,31,—(未定义/依赖不满足),,,
CONFIG_2ND_LVL_ISR_TBL_OFFSET,drivers/interrupt_controller,int,drivers/interrupt_controller/Kconfig.multilevel:44 | soc/riscv/andes_v5/ae350/Kconfig.defconfig.series:30 | soc/riscv/microchip_miv/miv/Kconfig.defconfig.series:17 | soc/riscv/microchip_miv/polarfire/Kconfig.defconfig.series:20 | soc/riscv/openisa_rv32m1/Kconfig.defconfig:55 | soc/riscv/opentitan/Kconfig.defconfig:18 | soc/riscv/renode_virt/Kconfig.defconfig:27 | soc/riscv/sifive_freedom/e300/Kconfig.defconfig.series:18 | soc/riscv/sifive_freedom/u500/Kconfig.defconfig.series:18 | soc/riscv/sifive_freedom/u700/Kconfig.defconfig.series:18 | soc/riscv/starfive_jh71xx/jh71xx/Kconfig.defconfig.series:18 | soc/riscv/virt/Kconfig.defconfig:18 | soc/xtensa/intel_adsp/ace/Kconfig.defconfig.series:39 | soc/xtensa/intel_adsp/cavs/Kconfig.defconfig.cavs_v25:47,0,0 | 12 | 13 | 32 | 9 | 21,—(未定义/依赖不满足),,"This is the offset in _sw_isr_table, the generated ISR handler table, where storage for 2nd level interrupt ISRs begins. This is typically allocated after ISRs for level 1 interrupts.",2ND_LEVEL_INTERRUPTS
CONFIG_3RD_LEVEL_INTERRUPTS,drivers/interrupt_controller,bool,drivers/interrupt_controller/Kconfig.multilevel:91,n（隐式）,—,—(未定义/依赖不满足),,Third level interrupts are used to increase the number of addressable interrupts in a system.,2ND_LEVEL_INTERRUPTS
CONFIG_3RD_LEVEL_INTERRUPT_BITS,drivers/interrupt_controller,int,drivers/interrupt_controller/Kconfig.multilevel:117,8,8,—(未定义/依赖不满足),,The number of bits to use of the 32 bit interrupt mask for third tier interrupts.,
